fr	en	fr_sen	en_sen
gorge	n.throat	Une tasse de thé calmera ton mal de gorge.	A cup of tea will soothe your sore throat.
sommeil	n.sleep	Le bruit de la rue n'a pas troublé mon sommeil.	The noise in the street did not trouble my sleep.
rivière	n.river	Allons manger au bord de la rivière.	Let's go eat by the river.
crayon	n.pencil	Il a placé son crayon derrière l'oreille.	He placed his pencil behind the ear.
sembler	v.to appear to be	Le nouveau médicament semble être très efficace.	The new medication appears to be very effective.
titre	n.title	Le titre d'un article doit attirer l'attention du lecteur.	The title of an article must catch the reader's attention.
ours	n.bear	Les loups et les ours sont des animaux sauvages.	Wolves and bears are wild animals.
lunettes	n.glasses (for vision)	Avec ces lunettes, je vois bien mieux.	With these glasses, I can see much better.
exploser	v.to explode	Ça va exploser !	It will explode!
évident	adj.obvious	C'était évident.	It was obvious.
examen	n.test	Hier, j'ai passé un examen à l'école.	Yesterday, I took an examination at school.
respirer	v.to breathe	L'air que nous respirons est invisible.	The air we breathe is invisible.
plat	adj n.dish	Le plat du jour est du poisson.	The dish of the day is fish.
survivre	v.to survive	Je peux survivre à ça.	I can survive this.
auprès	adv.nearby	Quand je suis auprès de toi, je me sens bien.	When I am close to you, I feel fine.
forêt	n.forest	La route passe par la forêt.	The road passes through the forest.
amitié	n.friendship	La confiance est le fondement de l'amitié.	Trust is the foundation of friendship.
blessure	n.injury	Elle est celle qui a pris soin de sa blessure.	She is the one who took care of her injury.
humeur	n.mood	Je vois que tu es de bonne humeur.	I see that you are in a good mood.
puissance	n.power	La puissance fait le droit.	Power makes the law.
casser	v.to break	Vous allez le casser si vous ne faites pas attention.	You will break it if you are not careful.
crier	v.to shout	Tu n'as pas besoin de crier.	You don't have to shout.
pousser	v.to push	Pourrais-tu pousser la porte pour l'ouvrir ?	Could you push the door to open it?
gare	n.train station	Je pris un taxi pour la gare.	I took a taxi to the train station.
midi	n.noon	Il vient à midi.	He comes at noon.
dessous	adv.beneath	Le nom du tableau est écrit dessous.	The name of the painting is written below.
annonce	n.advertisement	La maison correspond à la description dans l'annonce.	The house matches the description in the advertisement.
oreille	n.ear	Les éléphants ont de très grandes oreilles.	Elephants have very large ears.
usine	n.factory	Mon père travaille dans une usine.	My father works in a factory.
nombreux	adj.plentiful	Les belles plages sont nombreuses dans la région.	Beautiful beaches are plentiful in the region.
vache	n.cow	La vache nous donne du lait.	The cow gives us milk.
prudent	adj.careful	Je serai plus prudent.	I will be more careful.
épée	n.sword	Donne-moi ton épée.	Give me your sword.
sage	adj n.wise	Elle est très sage.	She is very wise.
libérer	v.to free	Le détenu a été libéré la semaine dernière.	The prisoner was freed last week.
tuer	v.to kill	Le chevalier a tué son adversaire pendant la bataille.	The knight killed his opponent during the battle.
château	n.castle	Il y a un château dans ma ville.	There is a castle in my town.
fer	n.iron	Mon marteau est en fer.	My hammer is made of iron.
réellement	adv.actually	Sont-elles réellement amies ?	Are they actually friends?
côte	n.coast	Je suis de la côte Ouest.	I am from the west coast.
quiconque	whoever / anyone	Nous ne devons pas juger quiconque.	We are not supposed to judge anyone.
délicieux	adj.delicious	Le gâteau est délicieux.	The cake is delicious.
chaleur	n.warmth	Je me rappelle la chaleur de ses bras.	I remember the warmth of his arms.
essence	n.gasoline	Ma petite voiture ne consomme pas beaucoup d'essence.	My small car does not consume much petrol.
soutien	n.support (physical or physchological)	Le candidat a obtenu le soutien de son parti.	The candidate obtained the support of his party.
traiter	v.to treat	Je sais comment traiter une dame.	I know how to treat a lady.
herbe	n.grass	J'aime bien regarder mes chats jouer dans l'herbe.	I like watching my cats play in the grass.
traverser	v.to cross	Elle a aidé le vieil homme à traverser la rue.	She helped the old man to cross the street.
menteur	liar	Ton père est le pire menteur au monde.	Your father is the worst liar in the world.
sombre	adj.dark	Le ciel était très sombre.	The sky was very dark.
bosser	work	J'adore bosser ici.	I love working here.
puissant	adj.powerful	On dit que ce canon est très puissant.	It is said that this cannon is very powerful.
cependant	conj.however	Mon train a du retard. Cependant, j'arriverai assez tôt.	My train is late. However, I will arrive early enough.
construire	v.to build	Je construis un château de sable avec mes enfants.	I am building a sandcastle with my children.
agence	n.agency	Je travaille pour une agence de voyage.	I work for a travel agency.
lendemain	n.next day	Le lendemain, la neige avait recouvert la ville entière.	The next day, snow had covered the whole town.
disparaître	v.to disappear	Tu dois disparaître.	You have to disappear.
fumer	v.to smoke	Le vieil homme fume une pipe.	The old man smokes a pipe.
horloge	n.clock	Regarde l'horloge.	Look at the clock.
maintenir	v.to maintain	Le capitaine a maintenu l'ordre à bord du navire.	The captain maintained order on the ship.
souffrir	suffer	Elles vont toutes souffrir de cette décision.	They will all suffer from this decision.
fromage	n.cheese	Je voudrais un morceau de fromage.	I would like a piece of cheese.
piscine	n.swimming pool	La piscine est pleine.	The pool is full.
billet	n.ticket	Elle a eu le billet pour rien.	She got the ticket for nothing.
résoudre	solve / resolve	Mais il reste évidemment des problèmes à résoudre.	But of course there are still problems to be solved.
chair	This fish has a very tender flesh it is delicious.	Ce poisson a une chair très tendre 	 il est délicieux.
résultat	n.result	On verra le résultat.	We will see the result.
taire	v.to hush up	Tu peux te taire.	You can stop talking.
déranger	v.to disturb	Le garçon n'a pas voulu déranger sa mère au travail.	The boy did not want to disturb his mother at her work.
concours	n.competition	Elle a gagné le concours de chant.	She won the singing competition.
crâne	skull	Laissez-moi ouvrir son crâne et mesurer son cerveau.	Let me open his skull and measure his brain.
élevé	adj.high	Le prix de cette voiture est très élevé.	The price of this car is very high.
laver	v.to wash	Tu dois te laver les mains.	You have to wash your hands.
jaloux	adj.jealous	Ils sont jaloux de nous.	They are jealous of us.
enfance	n.childhood	Son enfance était dure.	His childhood was hard.
chouette	adj.cool	Sa voiture est vraiment chouette.	His car is really cool.
profiter	v.to enjoy	Profitez du soleil.	Enjoy the sun.
caisse	n.box	La caisse était pleine de livres.	The box was full of books.
gaffe	n.blunder	Il était gêné par sa gaffe à la soirée.	He was embarrassed by his blunder at the party.
poitrine	n.chest	La femme tient son bébé contre sa poitrine.	The woman holds her baby to her chest.
sucre	n.sugar	Il aime le café sans sucre.	He likes coffee without sugar.
siècle	n.century	L'histoire de cette ville couvre quatre siècles.	The history of this town covers four centuries.
geste	n.gesture	J'apprécie le geste.	I appreciate the gesture.
étudier	v.to study	Tu dois étudier pendant toute ta vie.	You have to study for your whole life.
forcément	adv.necessarily	L'ethnicité n'est pas forcément la même chose que la nationalité.	Ethnicity is not necessarily the same thing as nationality.
cloche	n.bell	Je dois partir quand la cloche sonne.	I need to leave when the bell rings.
chute	n.fall	L'alpiniste a survécu à sa chute.	The rock climber survived the fall.
joueur	n.player	Il est le meilleur joueur de notre équipe.	He is the best player on our team.
peinture	n.painting	Il adore la peinture.	He loves painting.
tenue	n.outfit	Elle va aussi choisir ma tenue.	She is also going to choose my outfit.
marine	n.navy	Mon père était dans la Marine.	My father was in the Navy.
plainte	n.complaint	Nous avons eu une plainte.	We had a complaint.
foyer	n.household	Je vis dans un foyer heureux.	I live in a happy household.
manteau	n.coat	Il me faut un manteau.	I need a coat.
incendie	n.fire	Il a risqué sa vie pour sauver sa famille de l'incendie.	He risked his life to save his family from the fire.
mener	v.to lead	Je veux simplement mener une vie normale.	I just want to lead a normal life.
cauchemar	n.nightmare	Peut-être que c'était juste un cauchemar.	Maybe it was just a nightmare.
prêtre	n.priest	Le prêtre qui parle français sera là la semaine prochaine.	The priest who speaks French will be there next week.
lapin	n.rabbit	Les lapins peuvent digérer tous les légumes.	Rabbits can digest every vegetable.
scientifique	 Vast, imaginative and ambitious.adj n.	C'est un grand scientifique, rapide, imaginatif et ambitieux.	He is a great scientist. 
corde	n.rope	Tenez la corde.	Hold the rope.
propriété	n.property	C'est une propriété privée.	It is private property.
deviner	v.to guess	Devine qui a gagné.	Guess who won.
hiver	n.winter	L'hiver arrive bientôt.	Winter is coming soon.
jus	n.juice	Bois ce jus !	Drink this juice!
couloir	n.hallway	Le bureau du directeur est au fond du couloir.	The manager's office is at the end of the hallway.
poupée	n.doll	Je lui ai acheté une poupée.	I bought her a doll.
admettre	v.to admit	Je dois admettre que je n'en ai jamais entendu parler.	I must admit that I have never heard of it.
foule	n.crowd	Il a disparu dans la foule.	He disappeared from the crowd.
réseau	n.network	À l'école, tous les ordinateurs sont sur le même réseau.	At school, all computers are on the same network.
entraînement	n.training	L'entraînement m'a permis d'améliorer ma performance.	Training helped me improve my performance.
pardonner	v.to forgive	Mon patron a pardonné mon retard.	My boss forgave my lateness.
ascenseur	n.elevator	Nous pouvons prendre l'ascenseur jusqu'au troisième étage.	We can take the elevator to the third floor.
liaison	n.connection	Le modem a établi une liaison avec le réseau.	The modem established a connection with the network.
traîner	v.to drag	Mon fils a traîné sa grande valise.	My son dragged his large suitcase.
vélo	n.bike	Pour ton anniversaire, je te donnerai un vélo.	For your birthday, I will give you a bicycle.
anneau	n.ring	Il portait plusieurs anneaux en or à la main gauche.	He wore several gold rings on his left hand.
coopérer	v.to cooperate	Nous serons heureux de coopérer.	We will be happy to cooperate.
estomac	n.stomach	Mon estomac est vide.	My stomach is empty.
répéter	v.to repeat	Répète après moi.	Repeat after me.
curieux	adj.curious	Je dois admettre que je suis curieux.	I must admit that I am curious.
mardi	n.tuesday	Le mardi, je vais à la gym.	On Tuesdays, I go to the gym.
soudain	adjsudden	Son succès soudain n'est pas un hasard.	His sudden success is not a fluke.
ballon	n.ball	Tiens le ballon des deux mains.	Hold the ball with both hands.
combattre	v.fight	Je veux combattre.	I want to fight.
bouton	n.button	Vous pouvez régler le volume avec ce bouton.	You can adjust the volume with this button.
tâche	n.task	Ça a été la tâche la plus difficile de ma vie.	It has been the most difficult task of my life.
réussir	v.to succeed	Elle est sûre de réussir.	She is sure to succeed.
conseiller	v.to advise	Un groupe d'experts conseille le gouvernement.	A group of experts is advising the government.
brûler	v.to burn	J'ai utilisé une allumette pour brûler le papier.	I used a match to burn the paper.
rater	v.to fail	J'ai raté l'examen.	I failed the exam.
gloire	n.glory	Ce monument magnifique est la gloire de la ville.	This beautiful monument is the glory of the town.
nana	n.girl (particularly a beautiful one)	Je sais que tu as une nana.	I know you have a girl.
lourd	adj.	Ne penses-tu pas que ça pourrait être un peu lourd ?	Don't you think it could be a little heavy?
remplacer	v.to replace	Je peux le remplacer.	I can replace it.
affreux	adj.horrible	Elle a peint sa maison d'un vert affreux.	She painted her house a horrible green.
enterrement	n.burial	Beaucoup de chefs d'État sont venus à l'enterrement du roi.	Many world leaders came to the burial of the king.
tapis	n.carpet	Le tapis de ma chambre est vert.	The carpet in my bedroom is green.
tenter	v.to try	Je vais tenter le coup.	I will give it a try.
réaliser	v.to achieve	Notre équipe a réalisé le meilleur score aujourd'hui.	Our team achieved the best score today.
lâcher	v.to release	J'ai lâché le ballon.	I released the balloon.
baisse	n.decrease	Nous avons remarqué une baisse de la productivité.	We noticed a decrease in productivity.
venger	v.to revenge	Il a provoqué son ennemi en duel pour venger le roi.	He challenged his enemy to a duel to revenge the king.
récompense	n.reward	Quelle est ma récompense?	What is my reward?
poursuivre	v.to pursue	Les deux entreprises poursuivent un objectif commun.	The two companies pursue a common goal.
loup	n.wolf	Est-ce un loup ?	Is it a wolf?
navire	n.ship	Le capitaine contrôle tout le navire.	The captain controls the entire ship.
fleur	n.flower	C'est une fleur tellement belle !	It is such a beautiful flower! 
pratique	adj n.practical	C'était pratique.	It was practical.
jeudi	n.thursday	Jeudi est le quatrième jour de la semaine de travail.	Thursday is the fourth day of the working week.
célibataire	adj n.single	Il est jeune et célibataire.	He is young and single.
attirer	v.to attract	La nuit, la lumière attire des insectes.	At night, light attracts insects.
étonnant	adj.surprising	Le scientifique a trouvé les résultats de l'expérience étonnants.	The scientist found the results of the experiment surprising.
rythme	n.pace	La société évolue à un rythme sans précédent.	Society is changing at an unprecedented pace.
tempête	n.storm	La tempête a fait arrêter le train.	The storm caused the train to stop.
lutte	n.fight	Je soutiens la lutte contre la pauvreté.	I support the fight against poverty.
accompagner	v.to accompany	Je vais vous accompagner.	I will accompany you.
ceinture	n.belt (item of clothing)	Je boucle toujours ma ceinture de sécurité dans la voiture.	I always buckle my seat belt in the car.
personnage	n.character (of a story)	Il y a trop de personnages dans le livre.	There are too many characters in the book.
mars	n.march (month)	Mars est le troisième mois de l'année.	March is the third month of the year.
vingt	num.twenty	Je dois faire cuire le gâteau au four pendant vingt minutes.	I need to bake the cake in the oven for twenty minutes.
collier	n.necklace	L'actrice portait un beau collier de diamant.	The actress was wearing a beautiful diamond necklace.
canapé	n.couch	Je me suis réveillé sur le canapé.	I woke up on the couch.
nourrir	v.to feed	Il nourrit souvent son chat avec du poisson.	He often feeds fish to his cat.
singe	n.monkey	As-tu déjà vu un singe?	Have you ever seen a monkey?
pêche	n.fishing	Avez-vous un bateau de pêche ?	Do you have a fishing boat?
haine	n.hatred	La haine prend souvent sa source dans l'ignorance.	Hatred is often rooted in ignorance.
tromper	v.to deceive	Son apparence et son charme ont trompé beaucoup de gens.	His appearance and charm deceived many people.
pis	worse / worst	Les choses allèrent de mal en pis.	Things went from bad to worse.
écran	n.screen	Les instructions à l'écran sont lisibles et claires.	The instructions on screen are readable and clear.
miel	n.honey	J'aime le miel.	I like honey.
malheur	n.misfortune	Quel malheur !	What a misfortune!
arme	n.weapon	Je sais que vous avez une arme.	I know you have a weapon.
cerveau	n.brain	Les mots croisés sont très stimulants pour le cerveau.	Crosswords are very challenging for the brain.
explication	n.explanation	Je veux une explication.	I want an explanation.
vierge	adj n.blank / untouched	J'ai pris des notes sur une feuille vierge.	I took notes on a blank sheet of paper.
palais	n.palace	Le roi vit dans un palais.	The king lives in a palace.
identifier	v.to identify	Pouvez-vous les identifier ?	Can you identify them?
gâcher	v.to ruin	Ne gâche pas ma fête.	Don't ruin my party.
lent	adj.slow	Mon frère marche vite, mais ma sœur est lente.	My brother walks quickly, but my sister is slow.
élève	n.student	Vous êtes un bon élève, mais vous avez encore beaucoup à apprendre.	You are a good student, but you still have a lot to learn.
monnaie	n.change (money back from a transaction)	Je garde ma petite monnaie.	I keep my loose change.
davantage	adv.more	Il voulait en savoir davantage sur les fleurs.	He wanted to know more about flowers.
roman	n.novel	Son dernier roman est une histoire d'amour.	His latest novel is a love story.
soif	n.thurst	Je vais mourir de soif.	I am going to die of thirst.
étoile	n.star	Le soleil est une étoile.	The sun is a star.
concentrer	v.to concentrate	Tu dois te concentrer.	You have to concentrate.
voisin	n.neighbor	Mon voisin est devenu fou.	My neighbor has gone mad.
entièrement	adv.entirely	C'est entièrement de ta faute.	It is entirely your fault.
courrier	n.mail	Le courrier est arrivé.	The mail has arrived.
affronter	v.to confront	Vous devriez affronter la réalité.	You should face reality.
impressionnant	adj.impressive	C'est très impressionnant.	It is very impressive.
jaune	adj.yellow	Ne marchez pas dans la zone jaune.	Do not walk in the yellow zone.
bibliothèque	n.library	Ma maison est au nord de la bibliothèque.	My house is north of the library.
lentement	adv.slowly	Il marche très lentement.	He walks very slowly.
personnellement	adv.personally	Je ne le prends pas personnellement.	I do not take it personally.
étape	n.step	C'est le premier étape de mon plan.	It is the first step of my plan.
royaume	n.kingdom	Un royaume est dirigé par un roi ou une reine.	A kingdom is ruled by a king or queen.
courageux	adj.brave	Il est très courageux.	He is very brave.
maîtresse	n.mistress	Vous êtes la maîtresse.	You are the mistress.
bouffe	n.food	La bouffe est déjà sur la table.	The food is already on the table.
chanceux	adj.lucky	Un joueur chanceux gagnera tout l'argent.	A lucky player will win all of the money.
tasse	n.cup	Tu veux une tasse de thé ?	Do you want a cup of tea?
avouer	v.to admit	Il a avoué ne pas avoir dit la vérité.	He admitted that he had not told the truth.
soigner	v.to treat (an injury)	Le travail d'un médecin est de soigner les malades.	A doctor's job is to treat sick people.
aube	n.dawn	Le fermier se lève à l'aube pour nourrir les porcs.	The farmer gets up at dawn to feed the hogs.
miroir	n.mirror	Où trouver un miroir?	Where to find a mirror?
couvrir	v.to cover	Je vais te couvrir.	I'll cover you.
épreuve	n.test	L'étudiant a passé l'épreuve et a obtenu un bon résultat.	The student took the test and got a good result.
remplir	v.to fill	Il remplit la bouteille d'eau.	He fills the bottle with water.
égal	adj.equal	Les hommes et les femmes sont égaux devant la loi.	Men and women are equal before the law.
retenir	v.to hold back	Il te faut te retenir.	You have to hold back.
moto	n.motorcycle	Mon père m'a acheté une moto.	My father bought me a motorcycle.
annuler	v.to cancel	Devrions-nous annuler ?	Should we cancel?
séance	n.meeting	La séance finira dans quelques minutes.	The session will end in a few minutes.
valise	n.suitcase	Où est ta valise ?	Where's your suitcase?
cochon	n.pig	Le fermier élève des cochons.	The farmer raises pigs.
maudit	adj.damn	Aidez-moi à quitter cet endroit maudit.	Help me leave this cursed place.
poussière	n.dust	J'ai nettoyé la poussière du vieux livre.	I cleaned the dust off the old book.
printemps	n.spring	C'est le printemps que je préfère.	It is spring that I prefer.
interroger	v.to question	La police a interrogé le témoin.	The police questioned the witness.
briser	v.to break	Il a brisé la fenêtre en jouant au basket.	He broke the window playing basketball.
sauvage	adj.wild	Les ours sont des animaux sauvages.	Bears are wild animals.
